"","score","id","Title","Parent","Parent Slug"
"86",631.8,16844,"How to Find the Best RV Loan Rates and Financing Terms",121,"auto/rv"
"642",631.2,9931,"What is PITI?",146,"home/mortgage"
"420",628,26589,"Using a HELOC for Debt Consolidation",7471,"home/home-equity/heloc"
"996",617.9,6371,"Personal Loans for People With Bad Credit",164,"personal"
"997",604.5,3257,"Using Personal Loans to Rebuild Credit",164,"personal"
"79",595.3,2224,"Should You Refinance Your Car or Trade It In?",7509,"auto/refinance/car-loans"
"615",590.6,3472,"Mortgages for a Vacation Home",146,"home/mortgage"
"390",587.1,13604,"Pros and Cons of FHA Loans",27,"home/fha"
"38",578.1,3005,"How to Get a Car Loan",99,"auto"
"399",565.9,12160,"New FHA Guidelines and Regulations",7503,"home/fha/requirements"
"546",553.1,3549,"Escrow: What it is and how it works",146,"home/mortgage"
"1096",547.1,1055,"Types of MBA Degrees: Exploring Programs & MBA Financing",168,"student"
"76",543.8,17150,"Should I Pay Off My Car Loan Early or Not?",7509,"auto/refinance/car-loans"
"500",543,26453,"LendingTree Reveals the Cities With the Highest Rates of Denied Mortgage Applications",146,"home/mortgage"
"442",539.9,3322,"How to Get a Home Equity Loan",142,"home/home-equity"
"436",538,16043,"Home Improvement Loans with No Equity",7430,"home/home-equity/home-improvement"
"987",535.7,3274,"Pros and Cons of a Personal Line of Credit",7473,"personal/personal-line-credit"
"236",533.8,5522,"Credit Catastrophe? Improve Credit Scores in 5 Steps",20369,"credit-repair"
"373",531,2341,"An FHA Title 1 Loan Can Help Improve Your Home",27,"home/fha"
"29",523.9,3016,"First-Time Car Buyer Tips & Terminology",99,"auto"
"195",515.6,3956,"Short Term Business Loans: The Basics",8018,"business/short-term"
"953",515.3,21025,"Best Ways to Get a Personal Loan",164,"personal"
"738",511.9,3511,"What is a Balloon Mortgage Loan?",146,"home/mortgage"
"220",511,671,"When Business Loans are Necessary",129,"business"
"894",507.6,13597,"I Have a VA Mortgage. Can I Get a Home Equity Loan?",154,"home/va"
"973",507.5,21208,"How to Improve Your Chances of Getting Approved for a Personal Loan",164,"personal"
"105",506.3,29829,"13 Tips for Recovering After Bankruptcy",23650,"bankruptcy"
"891",505.2,2254,"VA Loan Closing Costs",154,"home/va"
"906",504,2273,"How to Apply for a VA Home Loan with a Non-VA Co-Borrower",7501,"home/va/requirements"
"667",503.3,7661,"Mortgage APR vs Interest Rate: What's the Difference?",5299,"home/mortgage/rates"
"464",502.5,3507,"How Do 80 10 10 Loans Work?",146,"home/mortgage"
"226",499.7,6118,"4 Credit Cards Perfect for a Home Remodeling Project",133,"credit-cards/tips"
"70",497.2,2234,"Cash Back Refinancing on Cars and Trucks: Pros and Cons",7509,"auto/refinance/car-loans"
"239",497.1,29737,"Does Checking My Credit Lower My Credit Score?",20369,"credit-repair"
"396",495.8,2355,"FHA vs. Conventional Mortgage: Which Loan Is Right for You?",7503,"home/fha/requirements"
"308",488.6,30284,"What Is the Debt Avalanche Method?",138,"debt-consolidation"
"714",488,5188,"What You Should Know Before Applying For a Mortgage",146,"home/mortgage"
"397",487.2,2365,"Getting An FHA Manufactured Home Loan",7503,"home/fha/requirements"
"383",485.2,7817,"How Much of an FHA Loan Can I Qualify for and Afford?",27,"home/fha"
"398",481.6,2350,"How to Qualify for an FHA Loan After Bankruptcy",7503,"home/fha/requirements"
"549",480.5,3436,"Financing a Rental Property: How Can I, and Should I?",146,"home/mortgage"
"110",478.6,24912,"LendingTree Study: The Cost of Bankruptcy",23650,"bankruptcy"
"595",478.5,5518,"Is a 15/15 ARM Money Saver Loan for You?",146,"home/mortgage"
"922",473.1,2265,"VA Loans for Land: A Guide to Buying Land with a VA Loan",154,"home/va"
"395",466.1,12776,"FHA Home Requirements",7503,"home/fha/requirements"
"9",465.4,29878,"Where to Get the Best Auto Loan Rates in 2018",99,"auto"
"101",461.6,3014,"Understanding Car Loan Interest Rates",99,"auto"
"98",454.6,3017,"What Are the Different Types of Auto Loans?",99,"auto"
"666",437.1,6008,"Mortgage APR: How to Compare Home Loans",5299,"home/mortgage/rates"
"1014",435.9,3251,"What are Personal Loan Used For: 15 Uses for a Personal Loan",164,"personal"
"243",435,5995,"How Long Does Negative Information Stay on my Credit Reports?",20369,"credit-repair"
"567",430.6,3425,"How Does a Mortgage Work?",146,"home/mortgage"
"287",430.1,30311,"401(k) Loan to Pay Off Debt: Is It a Good Idea?",138,"debt-consolidation"
"653",425.8,7603,"Understanding 5 Year Fixed Mortgage Rates",5299,"home/mortgage/rates"
"1005",419.6,3583,"Vacation Financing: Paying for a Vacation with a Personal Loan?",3121,"personal/travel"
"115",419.2,403,"Boat Financing: Learn How To Finance A Boat",1389,"boat"
"75",416.1,2233,"How to Refinance a Car Loan in 7 Steps",7509,"auto/refinance/car-loans"
"727",407.1,23229,"Understanding Lender Fees and Other Closing Costs",146,"home/mortgage"
"568",404.5,5503,"How Lease-to-Own Homes Work: A Guide",146,"home/mortgage"
"724",402.4,8459,"Getting an ARM Mortgage: Pros and Cons",7455,"home/mortgage/types"
"118",400.1,405,"Houseboat Financing: Learn How To Get A Houseboat Loan",1389,"boat"
"917",396.8,12510,"VA Home Improvement Loan: 9 Things To Know",154,"home/va"
"487",395.5,5502,"Buying a Home with a Shared-Equity Mortgage",146,"home/mortgage"
"100",393.9,18824,"Uber Car Financing Is Nearing an End: What You Can Do Instead",99,"auto"
"262",386.3,5805,"Hard Credit Inquiry Versus Soft Credit Inquiry",2206,"credit-score"
"805",383.6,3366,"Refinance Before a Divorce? See the Pros and Cons",150,"home/refinance"
"300",381.4,29538,"Are Balance Transfers the Best Way to Pay Off Debt?",7443,"debt-consolidation/credit-card"
"1046",380.9,29123,"Places With the Most Student Debt",168,"student"
"825",380.6,2270,"VA Loan Refinance: When Is the Funding Fee Refundable?",7469,"home/refinance/va"
"438",376.1,26490,"How Does A Home Equity Loan Work?",142,"home/home-equity"
"361",364.6,22542,"Best Places for a Fresh Start",25,"home"
"481",360.5,12645,"When to Buy a House: Find Out if You’re Ready",146,"home/mortgage"
"883",352.4,14713,"What Is a USDA Direct Loan?",14502,"home/usda"
"554",346.5,7070,"The Complete Guide to Hard Money Loans",146,"home/mortgage"
"368",346.4,2357,"FHA Interest Rates: How Much Can You Save with a 15 Year Loan?",27,"home/fha"
"430",345.2,3318,"Is Home Equity Interest Tax Deductible?",142,"home/home-equity"
"282",339.1,2293,"What is an Excellent Credit Score & Why Everyone Wants One",2206,"credit-score"
"921",338.2,2279,"VA Loans: Can They Be Used for Buying a Second Home?",154,"home/va"
"904",335.4,12902,"Get a VA Home Loan with Bad Credit",7501,"home/va/requirements"
"52",333.9,3003,"No Money Down Car Loans",99,"auto"
"494",332.1,3467,"Calculating your debt-to-income ratio",146,"home/mortgage"
"729",331,20722,"Understanding Mortgage Amortization",146,"home/mortgage"
"48",327.7,414,"How to Finance a Motorcycle",113,"auto/motorcycle"
"402",326.2,2344,"The Different Types of FHA Loans",27,"home/fha"
"854",319,16093,"How to Handle a Reverse Mortgage After Death",234,"home/reverse"
"860",317.4,2310,"Is a Reverse Mortgage Foreclosure Possible?",234,"home/reverse"
"959",313.6,470,"Fast Cash Loans: Advantages of Personal Loans",7592,"personal/emergency"
"1002",312.9,5760,"Signature Loans with No Credit Check: Don't Get Ripped Off",3119,"personal/signature"
"419",312.4,12919,"What is a Home Equity Line of Credit?",7471,"home/home-equity/heloc"
"501",308.9,29581,"LendingTree Reveals the Cities with the Highest Share of Vacation, Investment and Second Homes",146,"home/mortgage"
"25",306,5788,"Down Payment on a Used Car: How Much To Put Down",99,"auto"
"321",300.8,3088,"How Does Debt Consolidation Affect Your Credit?",138,"debt-consolidation"
"51",299.9,3018,"How to Get a Car Loan with No Credit",99,"auto"
"32",298.1,3026,"How Much Money Should You Put Down on a Car?",99,"auto"
"831",289.8,3365,"Why You Don't Actually Skip a Mortgage Payment When Refinancing",150,"home/refinance"
"294",288.9,22714,"Best Debt Consolidation Loans",138,"debt-consolidation"
"892",286.1,13599,"The Different Types of VA Loans",154,"home/va"
"612",285.2,3393,"Mortgage Application Checklist - All the Documents You'll Need",146,"home/mortgage"
"205",279.9,26705,"Survey: Most Small Business Owners Are Using Tax Reform Savings to Pay Off Debt",8474,"business/small"
"972",279.7,3269,"How to Qualify for Low Interest Personal Loans",164,"personal"
"684",277.4,5824,"The 10-Year Fixed Rate Mortgage",5299,"home/mortgage/rates"
"970",276.4,7639,"How to Get a Personal Loan:  4 Things to Know",164,"personal"
"693",275.8,3416,"Salary Requirements to Buy a House Vary Greatly Depending on Where You Look",146,"home/mortgage"
"555",274.9,5499,"Help for Single Women Home Buyers",146,"home/mortgage"
"62",270.6,2235,"Auto Loan refinance: Frequently Asked Questions",109,"auto/refinance"
"798",270.3,7806,"What You Need to Know about Commercial Mortgage Refinance",150,"home/refinance"
"534",268.2,3430,"Guide to Understanding Private Mortgage Insurance (That’s PMI)",7449,"home/mortgage/down-payment"
"466",267.4,3470,"5 Ways to Accelerate Your Mortgage Payoff",146,"home/mortgage"
"858",264.4,2322,"Reverse Mortgage FAQ: What Consumers Need to Know",234,"home/reverse"
"476",261.7,22273,"LendingTree Ranks Best Cities for First-Time Homebuyers",146,"home/mortgage"
"49",261.4,445,"Motorcycle Financing Explained",113,"auto/motorcycle"
"962",260.5,12763,"Getting a Loan: Where to get a Personal Loan",164,"personal"
"1095",260.4,16049,"Can You Take Out A Student Loan For Living Expenses?",168,"student"
"807",260.3,8490,"How to Refinance Your Investment Property",150,"home/refinance"
"348",256.5,25532,"An Overview of Major Debt Relief Companies in the U.S.",19622,"debt-relief"
"443",253,29891,"LendingTree Reveals How Your Neighbors Are Making the Most of Increasing Home Prices",142,"home/home-equity"
"343",252.9,19875,"What is a Good Debt-to-Income (DTI) Ratio?",138,"debt-consolidation"
"879",251.5,2324,"Understanding Jumbo Reverse Mortgages",234,"home/reverse"
"898",251.2,2267,"Joint VA Loans: What They Are and What You Need to Know",154,"home/va"
"337",251.2,3098,"The Pros and Cons of Debt Consolidation Options",138,"debt-consolidation"
"545",250.3,3523,"Ups and Downs of Down Payments",7449,"home/mortgage/down-payment"
"760",250.2,7945,"How to Find the Best Refinance Companies for Mortgages in 2018",150,"home/refinance"
"365",249.1,2342,"Buy a House at Half Price Through HUD’s Good Neighbor Next Door Program",27,"home/fha"
"704",248.9,5554,"Why It Can Be Difficult to Get Small Mortgage Loans",146,"home/mortgage"
"53",244.3,26513,"Places That Buy the Oldest Used Cars",99,"auto"
"446",243.5,3294,"Second Mortgage: What You Need to Know",142,"home/home-equity"
"191",239.5,3962,"The Pros and Cons of Small Business Administration (SBA) Business Loans",8015,"business/sba"
"357",235.6,26132,"Metros With the Most Fraud Alerts",176,"finance"
"1035",235.5,12812,"How to Find Grants to Pay Off Student Loans",168,"student"
"573",233.3,3498,"How Much to Put Down On a Home",146,"home/mortgage"
"802",230,3357,"Can I Refinance a Mortgage When my Home is for Sale?",150,"home/refinance"
"593",229.7,3500,"Interest-Only Mortgages: What You Need to Know",146,"home/mortgage"
"730",223.6,18403,"Understanding Stated-Income Loans",146,"home/mortgage"
"384",223,13584,"Can You Have More Than One FHA Loan at the Same Time?",27,"home/fha"
"1093",222.3,1059,"Student Loan Options: Federal vs Private Loans",168,"student"
"250",222.1,5762,"Loans for Bad Credit",20369,"credit-repair"
"415",220.8,3315,"Using a Home Equity Loan to Pay Off Credit Cards Quickly",7471,"home/home-equity/heloc"
"744",220,19303,"LendingTree’s State Migration Study Finds Homebuyers Heading South",146,"home/mortgage"
"413",216.9,3316,"Top 10 HELOC FAQs",7471,"home/home-equity/heloc"
"367",215.8,2364,"FHA Cash-out Refinance Loans",27,"home/fha"
"755",215,23661,"LendingTree Ranks Most Popular Cities for Millennial Homebuyers",25,"home"
"456",214.3,12660,"18 Frequently Asked Mortgage Questions",146,"home/mortgage"
"418",211.7,3298,"Reverse Mortgage vs HELOC: Which Is Better for Me?",7471,"home/home-equity/heloc"
"951",211.7,7827,"How to Apply for a Personal Loan",164,"personal"
"788",211,3356,"How Often Can You Refinance Your Home?",150,"home/refinance"
"873",210.5,7846,"Selling a House with a Reverse Mortgage",234,"home/reverse"
"583",210.4,3455,"How to Get Preapproved for a Home Loan",146,"home/mortgage"
"678",210.3,29073,"Mortgage Borrowers Could Save the Most Ever by Shopping Around",5299,"home/mortgage/rates"
"569",209.7,3506,"How much can you afford to borrow?",146,"home/mortgage"
"230",208.3,6063,"How Chip Cards Work",133,"credit-cards/tips"
"203",207.7,3559,"Understanding Small Business Loan Requirements",8474,"business/small"
"310",207.2,3075,"Debt Consolidation vs Bankruptcy: Which is Better?",138,"debt-consolidation"
"290",207.2,3063,"Finding the Best Debt Consolidation Companies",138,"debt-consolidation"
"291",206.1,3087,"How to Avoid Debt Consolidation Scams",138,"debt-consolidation"
"629",206,21526,"LendingTree Ranks Most Competitive Housing Markets",146,"home/mortgage"
"978",206,30265,"LendingTree Study: Shopping Around for Personal Loans Can Save Consumers 35%",164,"personal"
"562",204.4,12617,"Home Renovation Loan Options",146,"home/mortgage"
"747",204.3,3531,"Why Loan-To-Value Ratio Matters",146,"home/mortgage"
"709",202.8,24910,"Tax Benefits of Buying a Home",146,"home/mortgage"
"643",201.6,2990,"Getting Pre-Approved for a Mortgage",146,"home/mortgage"
"816",201.3,7727,"Refinancing a Second Mortgage",150,"home/refinance"
"499",200.7,26889,"LendingTree Reveals Cities Where Borrowers Save the Most by Shopping Around for Mortgage Loans",146,"home/mortgage"
"93",200.4,22901,"How Much Does a Tesla Cost & How to Pay For It",99,"auto"
"552",198.7,3495,"Five Smart Tips for Home Buyers",146,"home/mortgage"
"853",198.6,7899,"Can You Refinance a Reverse Mortgage and Is It a Smart Move?",234,"home/reverse"
"801",197.8,13585,"Easy Ways to Benefit from Refinancing Your Home Loan",150,"home/refinance"
"985",194.9,3273,"Do You Need a Personal Line of Credit?",7473,"personal/personal-line-credit"
"645",194.8,2994,"How to Get Approved for a Home Loan",2990,"home/mortgage/pre-approval"
"251",194.3,28898,"Top Places for Rising Credit Scores",20369,"credit-repair"
"819",193.4,3345,"Should I Refinance My Home?",150,"home/refinance"
"864",193.3,2311,"How to Get a Reverse Mortgage on a Manufactured Home?",234,"home/reverse"
"318",192.5,19886,"Understanding Debt Restructuring",138,"debt-consolidation"
"28",191.3,5328,"Financing a Car: A Guide to Getting Your Wheels",99,"auto"
"885",190.5,14703,"How to Find USDA Homes",14502,"home/usda"
"508",190.3,7099,"Understanding Mortgage Closing Costs",7457,"home/mortgage/closing-costs"
"323",189.7,21056,"Fair Debt Collection Practices Act (FDCPA): Know Your Rights",138,"debt-consolidation"
"301",188.5,18083,"8 Fast Ways to Pay off Credit Card Debt",7443,"debt-consolidation/credit-card"
"992",188.3,3248,"Using a Personal Loan to Pay Off Credit Cards",164,"personal"
"482",187.1,26410,"Buying a Beach House: Things to Consider",146,"home/mortgage"
"1019",186.3,3293,"Getting a Loan? Ways to Get a Personal Loan",164,"personal"
"1007",184.9,5791,"Unsecured Loan Basics",3123,"personal/unsecured"
"341",184,3065,"7 Ways to Make Extra Money and Pay Down Debt",138,"debt-consolidation"
"1",183.6,25018,"0% APR Car Deals: Is There a Catch?",99,"auto"
"200",182.9,22732,"LendingTree Ranks the Best and Worst Cities for New Small Businesses",8474,"business/small"
"715",182.4,3486,"3 things to know before you apply for a loan",146,"home/mortgage"
"387",181.4,13603,"Are FHA Loans Only for First-Time Homebuyers? No!",27,"home/fha"
"1011",181.2,3576,"Engagement Ring Financing",3125,"personal/wedding"
"703",181.1,20201,"Should You Go Beyond the 20 Percent Down Payment?",146,"home/mortgage"
"862",178.4,2332,"Understanding Reverse Mortgage Interest Rates",234,"home/reverse"
"868",177.3,13588,"Reverse Mortgage Rules: What You Need to Know",234,"home/reverse"
"963",177.2,7684,"Guaranteed Loans: Why Personal Loans Are Often a Better Choice",164,"personal"
"69",176.7,2227,"5 Good Reasons to Refinance Your Car",7509,"auto/refinance/car-loans"
"964",176.5,3291,"How Do Personal Loans Work?",164,"personal"
"846",176.4,2309,"How Does a Reverse Mortgage Work?",234,"home/reverse"
"219",175.4,5727,"What's The Difference Between Freelancer and Small Business Owner Roles?",129,"business"
"977",175,3240,"Secured Loans",164,"personal"
"708",174.4,20748,"Taking Advantage of the Home Mortgage Interest Tax Deduction",146,"home/mortgage"
"247",174,2238,"How to Improve Your Credit Score",20369,"credit-repair"
"44",173.5,3044,"Low Interest Auto Loans: Saving Money On Your Next Car",99,"auto"
"874",173.4,2307,"8 Situations When You Should Consider a Reverse Mortgage",234,"home/reverse"
"342",173.2,3108,"What is a Consolidation Loan?",138,"debt-consolidation"
"369",173.2,2348,"FHA Interest Rates: Why Consider an ARM Loan",27,"home/fha"
"664",172,5986,"Is a 5/5 ARM the Mortgage Loan for You?",5299,"home/mortgage/rates"
"511",171.1,3451,"Mortgage Closing: How it Works",7445,"home/mortgage/closing-process"
"531",170.8,3522,"Down Payment Assistance Programs",7449,"home/mortgage/down-payment"
"575",170.7,5555,"Federal Funds Rate: How the Fed Impacts Interest Rates",146,"home/mortgage"
"544",170.5,3503,"Which is better: PMI or piggyback loan?",7449,"home/mortgage/down-payment"
"587",170.1,5787,"How to read a mortgage statement",146,"home/mortgage"
"406",169.3,22966,"5 Smart Ways to Leverage Your Home Equity",142,"home/home-equity"
"958",168.9,7971,"5 Steps to an Easy Loan",7592,"personal/emergency"
"461",168.4,5740,"7 things to look for in your mortgage loan",146,"home/mortgage"
"322",168.3,23624,"Should I Build an Emergency Fund or Pay Off Debt?",138,"debt-consolidation"
"765",167.3,25368,"Cash-Out Refinance for Home Improvements",7459,"home/refinance/cash-out"
"768",165.9,25777,"LendingTree Ranks Cities With the Highest Share of Cash-Out Refinance Borrowers",7459,"home/refinance/cash-out"
"92",165.6,3013,"Subprime Auto Loans: Getting the Best Loan",99,"auto"
"723",165.3,3546,"The Truth-in-Lending Disclosure Statement is now the Loan Estimate (for Most People)",146,"home/mortgage"
"123",164.6,673,"The Advantages and Disadvantages of Startup Loans",129,"business"
"109",163.7,24871,"Chapter 7 Bankruptcy: Understanding the Basics",23650,"bankruptcy"
"565",163.7,3427,"How Big of a Mortgage Can I Get?",146,"home/mortgage"
"937",163.4,8909,"10 Factors That Highly Influence Home Insurance Rates",4825,"insurance/home"
"458",163.2,23633,"A 20-Something’s Guide to Getting a Mortgage",146,"home/mortgage"
